MetroArea,TargetEthnicity,EthnicPop,MetroPop
"Pittsburgh, PA",India,11812,2354926
"Portland-Vancouver-Hillsboro, OR-WA",India,13088,2351319
"Providence-Warwick, RI-MA",India,6798,1609359
"Raleigh, NC",India,19480,1243720
"Richmond, VA",India,10898,1258158
"Riverside-San Bernardino-Ontario, CA",India,15968,4430646
"Rochester, NY",India,4283,1082226
"Sacramento--Roseville--Arden-Arcade, CA",India,25949,2242542
"Salt Lake City, UT",India,4738,1154504
"San Antonio-New Braunfels, TX",India,8975,2332345
"San Diego-Carlsbad, CA",India,22010,3253356
"San Francisco-Oakland-Hayward, CA",India,108685,4577530
"San Jose-Sunnyvale-Santa Clara, CA",India,110449,1943107
"Scranton--Wilkes-Barre--Hazleton, PA",India,2432,559898
"Seattle-Tacoma-Bellevue, WA",India,56416,3671095
"Springfield, MA",India,2203,629107
"St. Louis, MO-IL",India,13554,2803449
"Stockton-Lodi, CA",India,11658,714860
"Syracuse, NY",India,2014,660652
"Tallahassee, FL",India,2428,376337
"Tampa-St. Petersburg-Clearwater, FL",India,18205,2927714
"Trenton, NJ",India,11834,371101
"Tucson, AZ",India,2209,1003338
"Vallejo-Fairfield, CA",India,2981,429596
"Virginia Beach-Norfolk-Newport News, VA-NC",India,3981,1714428
"Washington-Arlington-Alexandria, DC-VA-MD-WV",India,93583,6011752
"Worcester, MA-CT",India,8721,930667
"Yuba City, CA",India,6774,169303
"Atlanta-Sandy Springs-Roswell, GA",Japan,5628,5612777
"Boston-Cambridge-Newton, MA-NH",Japan,6370,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Japan,9508,9528396
"Cincinnati, OH-KY-IN",Japan,2304,2146410
"Columbus, OH",Japan,2643,1995004
"Dallas-Fort Worth-Arlington, TX",Japan,3875,6957123
"Denver-Aurora-Lakewood, CO",Japan,2169,2752056
"Detroit-Warren-Dearborn, MI",Japan,5692,4296731
"Houston-The Woodlands-Sugar Land, TX",Japan,4347,6482592
"Las Vegas-Henderson-Paradise, NV",Japan,4009,2070153
"Los Angeles-Long Beach-Anaheim, CA",Japan,48372,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Japan,2472,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Japan,36775,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Japan,2847,6047721
"Phoenix-Mesa-Scottsdale, AZ",Japan,3205,4486153
"Portland-Vancouver-Hillsboro, OR-WA",Japan,4865,2351319
"Riverside-San Bernardino-Ontario, CA",Japan,4798,4430646
"Sacramento--Roseville--Arden-Arcade, CA",Japan,3741,2242542
"San Diego-Carlsbad, CA",Japan,11150,3253356
"San Francisco-Oakland-Hayward, CA",Japan,17668,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Japan,11540,1943107
"Seattle-Tacoma-Bellevue, WA",Japan,12811,3671095
"Urban Honolulu, HI",Japan,20489,986999
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Japan,8022,6011752
"Albany-Schenectady-Troy, NY",Korea,2750,879291
"Anchorage, AK",Korea,2947,398000
"Ann Arbor, MI",Korea,2764,358082
"Atlanta-Sandy Springs-Roswell, GA",Korea,34349,5612777
"Austin-Round Rock, TX",Korea,4950,1942615
"Baltimore-Columbia-Towson, MD",Korea,19238,2780873
"Boston-Cambridge-Newton, MA-NH",Korea,14351,4728844
"Bridgeport-Stamford-Norwalk, CT",Korea,2377,941618
"Champaign-Urbana, IL",Korea,2318,236647
"Charlotte-Concord-Gastonia, NC-SC",Korea,3260,2381152
"Chicago-Naperville-Elgin, IL-IN-WI",Korea,38310,9528396
"Cincinnati, OH-KY-IN",Korea,2050,2146410
"Cleveland-Elyria, OH",Korea,2509,2061630
"Colorado Springs, CO",Korea,3623,688643
"Columbus, OH",Korea,3903,1995004
"Dallas-Fort Worth-Arlington, TX",Korea,23014,6957123
